Prompt,Version,content_urls,style_urls,char_urls,content_alt,style_alt,char_alt,palette,mood,texture,subject,action,style_or_type,place,time,parameters,tension_note,meta_json
"https://s.mj.run/khAQMPWrXoc https://s.mj.run/KKyn8luLS_A https://s.mj.run/ERbIScTxV4k https://s.mj.run/IXanJRjLzN8 https://s.mj.run/yOAUfy7ulVg 70s photograph of rain made of gold running down a tree made of fur with delicate details in a tuscan park after sunset, kodak portra --ar 4:5 --sref https://s.mj.run/rfIym3eb_ns https://s.mj.run/foN0nZH2x18",6.1,https://s.mj.run/khAQMPWrXoc https://s.mj.run/KKyn8luLS_A https://s.mj.run/ERbIScTxV4k https://s.mj.run/IXanJRjLzN8 https://s.mj.run/yOAUfy7ulVg ,https://s.mj.run/rfIym3eb_ns https://s.mj.run/foN0nZH2x18,,"Artistic gold ring with a pearl, featuring an organic design. | Abstract patterns of dark and light fluid textures. | Textured golden surface with wavy patterns and intricate details. | Gold abstract design with a pearl drop. Elegant and artistic. | Lush green landscape with uniquely shaped topiary trees.","Glossy blue ceramic with a gold accent, resembling organic forms. | Golden textured sculpture resembling a dog against a rich red backdrop.",,"gold, green",artistic,"fur, glossy",tree,running,photograph,Tuscan park,after sunset,Kodak Portra,delicate details,"{
  ""palette"":""gold, green"",
  ""mood"":""artistic"",
  ""texture"":""fur, glossy"",
  ""subject"":""tree"",
  ""action"":""running"",
  ""style_or_type"":""photograph"",
  ""place"":""Tuscan park"",
  ""time"":""after sunset"",
  ""parameters"":""Kodak Portra"",
  ""tension_note"":""delicate details""
}"
"https://s.mj.run/yOAUfy7ulVg https://s.mj.run/Yyt_cO6_ZYE https://s.mj.run/eJ98BRWcVU0 70s photograph of an organically shaped and solid cream colored sculpture with delicate gold details in paris at dusk, kodak portra --ar 4:5 --sref https://s.mj.run/3zgt6fPd1Ng https://s.mj.run/khAQMPWrXoc --profile hreu13h --v 7",7,https://s.mj.run/yOAUfy7ulVg https://s.mj.run/Yyt_cO6_ZYE https://s.mj.run/eJ98BRWcVU0 ,https://s.mj.run/3zgt6fPd1Ng https://s.mj.run/khAQMPWrXoc ,,"Lush green landscape with uniquely shaped topiary trees. | Textured fabric in orange and white, featuring layered pleats. | Textured metal surface with a patterned, golden rectangular piece.","Vibrant orange and soft pastel hues create a dynamic, textured installation. | Artistic gold ring with a pearl, featuring an organic design.",,"cream, gold",artistic,"smooth, delicate",sculpture,,photograph,Paris,dusk,--ar 4:5 --sref --profile hreu13h --v 7,,"{
  ""palette"":""cream, gold"",
  ""mood"":""artistic"",
  ""texture"":""smooth, delicate"",
  ""subject"":""sculpture"",
  ""action"":"""",
  ""style_or_type"":""photograph"",
  ""place"":""Paris"",
  ""time"":""dusk"",
  ""parameters"":""--ar 4:5 --sref --profile hreu13h --v 7"",
  ""tension_note"":""""
}"
"https://s.mj.run/yOAUfy7ulVg https://s.mj.run/khAQMPWrXoc https://s.mj.run/Yyt_cO6_ZYE https://s.mj.run/YRxhRCJHHrg 70s fashion portrait of a female model wearing a skin tight mesh textile with delicate gold details in tuscany at dusk, kodak portra --ar 4:5 --sref https://s.mj.run/AWEQ53ExSC8 https://s.mj.run/eJ98BRWcVU0 https://s.mj.run/m9zYqFVXg5U --profile hreu13h",6.1,https://s.mj.run/yOAUfy7ulVg https://s.mj.run/khAQMPWrXoc https://s.mj.run/Yyt_cO6_ZYE https://s.mj.run/YRxhRCJHHrg ,https://s.mj.run/AWEQ53ExSC8 https://s.mj.run/eJ98BRWcVU0 https://s.mj.run/m9zYqFVXg5U ,,"Lush green landscape with uniquely shaped topiary trees. | Artistic gold ring with a pearl, featuring an organic design. | Textured fabric in orange and white, featuring layered pleats. | Model in a green netted dress against a soft backdrop.","Flowing blue fabric against a dark background, creating a mysterious silhouette. | Textured metal surface with a patterned, golden rectangular piece. | Sparkling, nude-toned fabric with shimmering details and soft textures.",,gold,elegant,mesh,female model,posing,70s fashion,tuscany,dusk,--ar 4:5 --sref --profile hreu13h,,"{
  ""palette"":""gold"",
  ""mood"":""elegant"",
  ""texture"":""mesh"",
  ""subject"":""female model"",
  ""action"":""posing"",
  ""style_or_type"":""70s fashion"",
  ""place"":""tuscany"",
  ""time"":""dusk"",
  ""parameters"":""--ar 4:5 --sref --profile hreu13h"",
  ""tension_note"":""""
}"
"https://s.mj.run/yOAUfy7ulVg https://s.mj.run/Yyt_cO6_ZYE https://s.mj.run/eJ98BRWcVU0 https://s.mj.run/R_fUKNYIKZc 70s photograph of a sculpture with delicate gold details in paris at dusk, spectators taking pictures with their phones, kodak portra --ar 4:5 --sref https://s.mj.run/eE67Q4hYXH4 https://s.mj.run/3zgt6fPd1Ng https://s.mj.run/khAQMPWrXoc --profile hreu13h",6.1,https://s.mj.run/yOAUfy7ulVg https://s.mj.run/Yyt_cO6_ZYE https://s.mj.run/eJ98BRWcVU0 https://s.mj.run/R_fUKNYIKZc ,https://s.mj.run/eE67Q4hYXH4 https://s.mj.run/3zgt6fPd1Ng https://s.mj.run/khAQMPWrXoc ,,"Lush green landscape with uniquely shaped topiary trees. | Textured fabric in orange and white, featuring layered pleats. | Textured metal surface with a patterned, golden rectangular piece. | A model poses elegantly in a unique, structured outfit.","Delicate, textured coral-like structure in soft beige and cream tones. | Vibrant orange and soft pastel hues create a dynamic, textured installation. | Artistic gold ring with a pearl, featuring an organic design.",,"gold, pastel",elegant,delicate,sculpture,taking pictures,photograph,Paris,dusk,Kodak Portra,,"{
  ""palette"":""gold, pastel"",
  ""mood"":""elegant"",
  ""texture"":""delicate"",
  ""subject"":""sculpture"",
  ""action"":""taking pictures"",
  ""style_or_type"":""photograph"",
  ""place"":""Paris"",
  ""time"":""dusk"",
  ""parameters"":""Kodak Portra"",
  ""tension_note"":""""
}"
"https://s.mj.run/eJ98BRWcVU0 https://s.mj.run/m9zYqFVXg5U https://s.mj.run/khAQMPWrXoc https://s.mj.run/rfIym3eb_ns 70s photograph of an opera with scenography of delicate gold details in a large museum hall, red light, shot from audience, kodak portra --ar 4:5 --sref https://s.mj.run/6HgwYDXPd6Q https://s.mj.run/3zgt6fPd1Ng --profile hreu13h",6.1,https://s.mj.run/eJ98BRWcVU0 https://s.mj.run/m9zYqFVXg5U https://s.mj.run/khAQMPWrXoc https://s.mj.run/rfIym3eb_ns ,https://s.mj.run/6HgwYDXPd6Q https://s.mj.run/3zgt6fPd1Ng ,,"Textured metal surface with a patterned, golden rectangular piece. | Sparkling, nude-toned fabric with shimmering details and soft textures. | Artistic gold ring with a pearl, featuring an organic design. | Glossy blue ceramic with a gold accent, resembling organic forms.","Silhouette against a vibrant red sky with a glowing sun. | Vibrant orange and soft pastel hues create a dynamic, textured installation.",,"gold, red",artistic,"soft, glossy",opera,performing,70s photograph,museum hall,evening,kodak portra,delicate,"{
  ""palette"":""gold, red"",
  ""mood"":""artistic"",
  ""texture"":""soft, glossy"",
  ""subject"":""opera"",
  ""action"":""performing"",
  ""style_or_type"":""70s photograph"",
  ""place"":""museum hall"",
  ""time"":""evening"",
  ""parameters"":""kodak portra"",
  ""tension_note"":""delicate""
}"
"https://s.mj.run/yOAUfy7ulVg https://s.mj.run/Yyt_cO6_ZYE https://s.mj.run/eJ98BRWcVU0 https://s.mj.run/R_fUKNYIKZc 70s fashion photograph of a model with delicate gold details in tuscany at dusk, kodak portra --ar 4:5 --sref https://s.mj.run/eE67Q4hYXH4 https://s.mj.run/3zgt6fPd1Ng https://s.mj.run/khAQMPWrXoc --profile hreu13h",6.1,https://s.mj.run/yOAUfy7ulVg https://s.mj.run/Yyt_cO6_ZYE https://s.mj.run/eJ98BRWcVU0 https://s.mj.run/R_fUKNYIKZc ,https://s.mj.run/eE67Q4hYXH4 https://s.mj.run/3zgt6fPd1Ng https://s.mj.run/khAQMPWrXoc ,,"Lush green landscape with uniquely shaped topiary trees. | Textured fabric in orange and white, featuring layered pleats. | Textured metal surface with a patterned, golden rectangular piece. | A model poses elegantly in a unique, structured outfit.","Delicate, textured coral-like structure in soft beige and cream tones. | Vibrant orange and soft pastel hues create a dynamic, textured installation. | Artistic gold ring with a pearl, featuring an organic design.",,"orange, pastel",elegant,textured,model,posing,70s fashion,tuscany,dusk,--ar 4:5 --sref --profile hreu13h,delicate details,"{
  ""palette"":""orange, pastel"",
  ""mood"":""elegant"",
  ""texture"":""textured"",
  ""subject"":""model"",
  ""action"":""posing"",
  ""style_or_type"":""70s fashion"",
  ""place"":""tuscany"",
  ""time"":""dusk"",
  ""parameters"":""--ar 4:5 --sref --profile hreu13h"",
  ""tension_note"":""delicate details""
}"
"https://s.mj.run/eJ98BRWcVU0 https://s.mj.run/m9zYqFVXg5U https://s.mj.run/ocxRt-h9QdY https://s.mj.run/3zgt6fPd1Ng 70s photograph of a fashion show with delicate gold details in a large museum hall, red sky light, kodak portra --ar 4:5 --sref https://s.mj.run/6HgwYDXPd6Q --profile hreu13h",6.1,https://s.mj.run/eJ98BRWcVU0 https://s.mj.run/m9zYqFVXg5U https://s.mj.run/ocxRt-h9QdY https://s.mj.run/3zgt6fPd1Ng ,https://s.mj.run/6HgwYDXPd6Q ,,"Textured metal surface with a patterned, golden rectangular piece. | Sparkling, nude-toned fabric with shimmering details and soft textures. | A young person with braided hair, tears on their face, somber expression. | Vibrant orange and soft pastel hues create a dynamic, textured installation.",Silhouette against a vibrant red sky with a glowing sun.,,"gold, red",somber,"textured, soft",fashion show,displaying,70s,museum hall,day,--ar 4:5 --sref --profile hreu13h,emotional,"{
  ""palette"":""gold, red"",
  ""mood"":""somber"",
  ""texture"":""textured, soft"",
  ""subject"":""fashion show"",
  ""action"":""displaying"",
  ""style_or_type"":""70s"",
  ""place"":""museum hall"",
  ""time"":""day"",
  ""parameters"":""--ar 4:5 --sref --profile hreu13h"",
  ""tension_note"":""emotional""
}"
"https://s.mj.run/eJ98BRWcVU0 https://s.mj.run/3zgt6fPd1Ng https://s.mj.run/khAQMPWrXoc https://s.mj.run/rfIym3eb_ns 70s photograph of a sculpture with delicate gold details in a large museum hall, red light, kodak portra --ar 4:5 --sref https://s.mj.run/6HgwYDXPd6Q --profile hreu13h",6.1,https://s.mj.run/eJ98BRWcVU0 https://s.mj.run/3zgt6fPd1Ng https://s.mj.run/khAQMPWrXoc https://s.mj.run/rfIym3eb_ns ,https://s.mj.run/6HgwYDXPd6Q ,,"Textured metal surface with a patterned, golden rectangular piece. | Vibrant orange and soft pastel hues create a dynamic, textured installation. | Artistic gold ring with a pearl, featuring an organic design. | Glossy blue ceramic with a gold accent, resembling organic forms.",Silhouette against a vibrant red sky with a glowing sun.,,"gold, red",artistic,textured,sculpture,,photograph,museum,70s,--ar 4:5 --sref --profile hreu13h,,"{
  ""palette"":""gold, red"",
  ""mood"":""artistic"",
  ""texture"":""textured"",
  ""subject"":""sculpture"",
  ""action"":"""",
  ""style_or_type"":""photograph"",
  ""place"":""museum"",
  ""time"":""70s"",
  ""parameters"":""--ar 4:5 --sref --profile hreu13h"",
  ""tension_note"":""""
}"
"https://s.mj.run/eJ98BRWcVU0 https://s.mj.run/povO46CkFqg https://s.mj.run/6HS4EO-HONk https://s.mj.run/2sEYALmyVY0 70s fashion portrait of a luminous goddess with skin made of delicate gold details and a sculptural outfit by the water on the french coast, long textiles blowing in the wind, red sky, beautiful eyes, kodak portra --ar 4:5 --sref https://s.mj.run/6HgwYDXPd6Q --profile hreu13h",6.1,https://s.mj.run/eJ98BRWcVU0 https://s.mj.run/povO46CkFqg https://s.mj.run/6HS4EO-HONk https://s.mj.run/2sEYALmyVY0 ,https://s.mj.run/6HgwYDXPd6Q ,,"Textured metal surface with a patterned, golden rectangular piece. | Black and white portrait of a person with curly, voluminous hair. | Close-up of a textured, white garment sleeve on a model. | Two large clam shells facing each other, showcasing intricate textures.",Silhouette against a vibrant red sky with a glowing sun.,,"gold, red",luminous,"metallic, textured",goddess,blowing,70s fashion,French coast,sunset,--ar 4:5 --sref,,"{
  ""palette"":""gold, red"",
  ""mood"":""luminous"",
  ""texture"":""metallic, textured"",
  ""subject"":""goddess"",
  ""action"":""blowing"",
  ""style_or_type"":""70s fashion"",
  ""place"":""French coast"",
  ""time"":""sunset"",
  ""parameters"":""--ar 4:5 --sref"",
  ""tension_note"":""""
}"
"https://s.mj.run/eJ98BRWcVU0 https://s.mj.run/povO46CkFqg https://s.mj.run/6HS4EO-HONk https://s.mj.run/2sEYALmyVY0 70s fashion portrait of a luminous goddess with skin made of delicate gold details in the water on the french coast, kodak portra --ar 4:5 --sref https://s.mj.run/6HgwYDXPd6Q --profile hreu13h",6.1,https://s.mj.run/eJ98BRWcVU0 https://s.mj.run/povO46CkFqg https://s.mj.run/6HS4EO-HONk https://s.mj.run/2sEYALmyVY0 ,https://s.mj.run/6HgwYDXPd6Q ,,"Textured metal surface with a patterned, golden rectangular piece. | Black and white portrait of a person with curly, voluminous hair. | Close-up of a textured, white garment sleeve on a model. | Two large clam shells facing each other, showcasing intricate textures.",Silhouette against a vibrant red sky with a glowing sun.,,gold,luminous,metallic,goddess,floating,70s fashion,French coast,,--ar 4:5 --sref,,"{
  ""palette"": ""gold"",
  ""mood"": ""luminous"",
  ""texture"": ""metallic"",
  ""subject"": ""goddess"",
  ""action"": ""floating"",
  ""style_or_type"": ""70s fashion"",
  ""place"": ""French coast"",
  ""time"": """",
  ""parameters"": ""--ar 4:5 --sref"",
  ""tension_note"": """"
}"
